video_path,video_name,video_id,has_metadata
lrs3/OSz2v42F0E0/00030/real.mp4,real,00030,True
lrs3/NTbBuvcGnxM/00009/00009_p3.mp4,00009_p3,00009,True
lrs3/Aoa20kFNYmY/00002/00002_p4.mp4,00002_p4,00002,True
lrs3/GHcCs4TPvYA/00005/fake_video_real_audio_p4.mp4,fake_video_real_audio_p4,00005,True
lrs3/ONXYcNS7k1Y/00003/00003_p1.mp4,00003_p1,00003,True
lrs3/6MgDcFlTgVM/00005/fake_video_real_audio_p2.mp4,fake_video_real_audio_p2,00005,True
lrs3/O6GimGZz6a8/00022/fake_video_real_audio_p2.mp4,fake_video_real_audio_p2,00022,True
lrs3/53P0aypkpXY/00006/00006_p4.mp4,00006_p4,00006,True
lrs3/NcPusGLnqAc/00003/real_video_fake_audio_p2.mp4,real_video_fake_audio_p2,00003,True
lrs3/NaoSp4NpkGg/00015/fake_video_fake_audio_p3.mp4,fake_video_fake_audio_p3,00015,True
lrs3/ORBf73HiJns/00030/real_video_fake_audio_p3.mp4,real_video_fake_audio_p3,00030,True
lrs3/ONXYcNS7k1Y/00013/real_video_fake_audio_p3.mp4,real_video_fake_audio_p3,00013,True
lrs3/63tVsJI31Tk/00005/real_video_fake_audio_p1.mp4,real_video_fake_audio_p1,00005,True
lrs3/O6GimGZz6a8/00012/real_video_fake_audio.mp4,real_video_fake_audio,00012,True
lrs3/HrG8UZjL5E8/00004/real.mp4,real,00004,True
lrs3/NCPzjiSS2Oo/00001/00001_p3.mp4,00001_p3,00001,True
lrs3/ARWBdfWpDyc/00004/fake_video_real_audio_p2.mp4,fake_video_real_audio_p2,00004,True
lrs3/MkRJG510CKo/00001/real_video_fake_audio_p1.mp4,real_video_fake_audio_p1,00001,True
lrs3/OT9poHSD2Iw/00023/fake_video_real_audio.mp4,fake_video_real_audio,00023,True
lrs3/NVrpKRdtWwc/00002/fake_video_real_audio_p2.mp4,fake_video_real_audio_p2,00002,True
lrs3/86Hyq4bBpA0/00007/fake_video_fake_audio_p1.mp4,fake_video_fake_audio_p1,00007,True
lrs3/ORBf73HiJns/00014/00014_p2.mp4,00014_p2,00014,True
lrs3/64fDIZiVSSM/00006/00006_p4.mp4,00006_p4,00006,True
lrs3/OT9poHSD2Iw/00006/00006_p4.mp4,00006_p4,00006,True
lrs3/NgbqXsA62Qs/00015/00015_p2.mp4,00015_p2,00015,True
lrs3/O6GimGZz6a8/00014/real_video_fake_audio_p3.mp4,real_video_fake_audio_p3,00014,True
lrs3/NS4bBu9Jyho/00004/fake_video_real_audio_p2.mp4,fake_video_real_audio_p2,00004,True
lrs3/Myp1sZBxTR8/00003/00003_p2.mp4,00003_p2,00003,True
lrs3/OSGHRMKrVM8/00011/fake_video_fake_audio_p1.mp4,fake_video_fake_audio_p1,00011,True
lrs3/84QouBqCIWg/00002/00002_p4.mp4,00002_p4,00002,True
lrs3/O4bGOvkkHcM/00005/00005.mp4,00005,00005,True
lrs3/Aoa20kFNYmY/00005/00005_p4.mp4,00005_p4,00005,True
lrs3/56XQd6fcWu8/00003/fake_video_real_audio_p3.mp4,fake_video_real_audio_p3,00003,True
lrs3/56XQd6fcWu8/00003/real_video_fake_audio_p4.mp4,real_video_fake_audio_p4,00003,True
lrs3/OT9poHSD2Iw/00011/fake_video_fake_audio_p1.mp4,fake_video_fake_audio_p1,00011,True
lrs3/NVrpKRdtWwc/00005/fake_video_real_audio_p1.mp4,fake_video_real_audio_p1,00005,True
lrs3/5nrn5fC001Q/00008/fake_video_real_audio.mp4,fake_video_real_audio,00008,True
lrs3/31ojbLK0vU4/00002/00002_p4.mp4,00002_p4,00002,True
lrs3/D9Ihs241zeg/00002/00002_p1.mp4,00002_p1,00002,True
lrs3/ORBf73HiJns/00039/fake_video_real_audio_p4.mp4,fake_video_real_audio_p4,00039,True
lrs3/OSGHRMKrVM8/00027/real.mp4,real,00027,True
lrs3/ORzTct2yITk/00002/real_video_fake_audio.mp4,real_video_fake_audio,00002,True
lrs3/ONXYcNS7k1Y/00029/real_video_fake_audio_p3.mp4,real_video_fake_audio_p3,00029,True
lrs3/ONXYcNS7k1Y/00014/fake_video_real_audio_p1.mp4,fake_video_real_audio_p1,00014,True
lrs3/HrG8UZjL5E8/00007/real_video_fake_audio_p3.mp4,real_video_fake_audio_p3,00007,True
lrs3/NHopJHSlVo4/00001/fake_video_fake_audio_p1.mp4,fake_video_fake_audio_p1,00001,True
lrs3/LsSh5ZUfnz4/00002/real_video_fake_audio_p4.mp4,real_video_fake_audio_p4,00002,True
lrs3/OSz2v42F0E0/00015/real_video_fake_audio_p1.mp4,real_video_fake_audio_p1,00015,True
lrs3/MkRJG510CKo/00008/00008_p1.mp4,00008_p1,00008,True
lrs3/OSz2v42F0E0/00030/00030_p4.mp4,00030_p4,00030,True
lrs3/NHopJHSlVo4/00003/00003_p3.mp4,00003_p3,00003,True
lrs3/KjKBOo5tFX8/00011/00011_p4.mp4,00011_p4,00011,True
lrs3/CQ6by9cmt54/00009/fake_video_real_audio_p4.mp4,fake_video_real_audio_p4,00009,True
lrs3/HrG8UZjL5E8/00004/real_video_fake_audio_p1.mp4,real_video_fake_audio_p1,00004,True
lrs3/FgSJcKSHUtQ/00006/real_video_fake_audio_p2.mp4,real_video_fake_audio_p2,00006,True
lrs3/NU82HhqhEHM/00005/00005_p4.mp4,00005_p4,00005,True
lrs3/NgbqXsA62Qs/00002/fake_video_real_audio_p2.mp4,fake_video_real_audio_p2,00002,True
lrs3/ORBf73HiJns/00003/real.mp4,real,00003,True
lrs3/84QouBqCIWg/00002/fake_video_fake_audio_p3.mp4,fake_video_fake_audio_p3,00002,True
lrs3/ORBf73HiJns/00043/fake_video_fake_audio_p2.mp4,fake_video_fake_audio_p2,00043,True
lrs3/ORBf73HiJns/00025/real_video_fake_audio_p3.mp4,real_video_fake_audio_p3,00025,True
lrs3/NcPusGLnqAc/00011/fake_video_real_audio.mp4,fake_video_real_audio,00011,True
lrs3/1Hok1iGFNSk/00003/00003_p2.mp4,00003_p2,00003,True
